FID,workorderi,descriptio,initiateda,entityuid,woaddress,what_happe,globalid
120,9046,Urgent Water Main Break Repair,2023-08-22,t4235,"2720 EAST PINE LN, BLOOMINGTON, IN, 47401",Main Break (Includes a BWA),{B98A4BC1-3A6F-4395-8180-BCE4AAF0F12A}
121,9268,Urgent Water Main Break Repair,2023-08-23,v303,"4258 EAST RAMP CREEK RD, BLOOMINGTON, IN, 47401",Main Leak (No BWA),{5DF6AE4C-DE9C-476C-8295-9E8601262E3C}
122,9324,Urgent Service Line Break Repair,2023-08-28,t43170,"1402 SOUTH WINFIELD RD, BLOOMINGTON, IN, 47401",Service Line Strike,{FEAFBFEF-BE71-4EE4-8501-B69B051AAAA5}
123,10125,Urgent Service Line Break Repair,2023-09-14,13806,"2425 SOUTH ROCKY CLIFF CT, BLOOMINGTON, IN, 47401",Service Line Strike,{A85AC378-8E8F-412D-9D76-6BA771C774DF}
124,10234,Urgent Water Main Break Repair,2023-09-15,wp39485,"2516 EAST ROUNDHILL LN, BLOOMINGTON, IN, 47401",Strike (No BWA),{81111534-0EBC-400D-9FAD-A21BC12535E4}
125,10236,Urgent Service Line Break Repair,2023-09-15,wp21423,"1555 WEST PETAL CT, BLOOMINGTON, IN, 47403",Service Line Leak,{DDCB4246-D6A5-4A93-967F-4339035472DE}
126,10277,Urgent Water Main Break Repair,2023-09-17,o47131,"1308 WEST 11TH ST, BLOOMINGTON, IN, 47404",Main Leak (No BWA),{582634EA-4529-49DE-B9B5-3782CAA65C90}
127,10707,Urgent Water Main Break Repair,2023-09-26,wp6315,"4283 EAST RAMP CREEK RD, BLOOMINGTON, IN, 47401",Main Leak (No BWA),{A199E51C-56B1-465B-9F86-EB42AD94DC23}
128,10756,Urgent Water Main Break Repair,2023-09-27,p4979,"606 WEST GOURLEY PIKE, BLOOMINGTON, IN, 47404",Main Break (Includes a BWA),{5A48678E-0FAE-4572-996A-2014B332478C}
129,10779,Urgent Water Main Break Repair,2023-09-28,wp680,"3301 SOUTH TULIP AVE, BLOOMINGTON, IN, 47403",Main Leak (No BWA),{0B1976BA-6856-4885-959E-9CEFF3D6BDF6}
130,10917,Urgent Water Main Break Repair,2023-10-02,q5061,"2804 NORTH BLUE SLOPES DR, BLOOMINGTON, IN, 47408",Main Leak (No BWA),{C9C3FA20-858A-4F44-A62C-FA1CEE2C7CE0}
131,11046,Urgent Service Line Break Repair,2023-10-03,5162,"2736 NORTH BLUE RIDGE CT, BLOOMINGTON, IN, 47408",Service Line Strike,{8392489C-BBDF-4B9E-AA2E-931F21BF7720}
132,11098,Urgent Water Main Break Repair,2023-10-04,wp9342,"125 SOUTH PARK RIDGE RD, BLOOMINGTON, IN, 47408",Main Leak (No BWA),{1A879758-DFCC-4636-AEC2-725CC406B20F}
133,11122,Urgent Water Main Break Repair,2023-10-04,p5141,"3401 NORTH KINSER PIKE, BLOOMINGTON, IN, 47404",Main Break (Includes a BWA),{FC8C117E-683A-4570-A3A3-149F751E73FC}
134,11283,Urgent Water Main Break Repair,2023-10-07,r4188,"1950 SOUTH MAXWELL ST, BLOOMINGTON, IN, 47401",Main Leak (No BWA),{D130AF09-B3E0-496B-B7A6-130F6313BC77}
135,11284,Urgent Water Main Break Repair,2023-10-07,wp20070,"3000 NORTH BROWNCLIFF LN, BLOOMINGTON, IN, 47408",Main Break (Includes a BWA),{F94F2DF2-DD05-4E03-BEDB-E0F20A47A8EC}
136,11507,Urgent Service Line Break Repair,2023-10-10,s42139,"2231 EAST QUEENS WAY, BLOOMINGTON, IN, 47401",Service Line Strike,{9233E577-2CC0-4330-94A4-3454A9EAAE0F}
137,11508,Urgent Service Line Break Repair,2023-10-10,s42139,"500 SOUTH MITCHELL ST, BLOOMINGTON, IN, 47401",Service Line Strike,{3ECC6AE7-FEA7-431F-99C1-C32DAE8BDE87}
138,11726,Urgent Water Main Break Repair,2023-10-16,p408,"2724 SOUTH BANTA AVE, BLOOMINGTON, IN, 47403",Main Leak (No BWA),{754719BF-EA36-43EC-9D44-9DED82551ACB}
139,11738,Urgent Service Line Break Repair,2023-10-16,5162,"2730 N Blue Ridge CT, Bloomington, IN, 47408",Service Line Strike,{416D3993-19C1-4B93-94A2-D4DBCB5479A5}
140,11955,Urgent Service Line Break Repair,2023-10-17,wp20623,"3946 EAST 10TH ST, BLOOMINGTON, IN, 47408",Service Line Strike,{6EBFA3A5-1629-48CD-BC2D-16819ECA480F}
141,12167,Urgent Water Main Break Repair,2023-10-23,v4599,"4021 EAST MORNINGSIDE DR, BLOOMINGTON, IN, 47408",Main Break (Includes a BWA),{3889536E-5F0D-4DB4-8078-FCA5B045B567}
142,12218,Urgent Service Line Break Repair,2023-10-25,r4577,"710 EAST ATWATER AVE, BLOOMINGTON, IN, 47401",Service Line Leak,{4EA5E58D-4C94-4447-9FCC-69CAF672BDDC}
143,12286,Urgent Water Main Break Repair,2023-10-26,wp685,"3309 SOUTH GLEN ARBOR PL, BLOOMINGTON, IN, 47403",Main Break (Includes a BWA),{EF056716-A923-4DE5-998E-A17598637395}
144,12306,Urgent Service Line Break Repair,2023-10-26,12207,"2001 EAST ARDEN DR, BLOOMINGTON, IN, 47401",Service Line Strike,{5334D8FD-B7E9-48E5-A0DD-FBA074A95881}
145,12513,Urgent Water Main Break Repair,2023-11-02,u4515,"3205 EAST 3RD ST, BLOOMINGTON, IN, 47401",Main Leak (No BWA),{127BA2E9-1FD8-4BAD-8798-7BDA4CE78C0E}
146,12576,Urgent Water Main Break Repair,2023-11-02,wp29128,"2010 WEST ROSS LN, BLOOMINGTON, IN, 47403",Main Leak (No BWA),{9E23A63C-E8AB-4912-B391-FABF13A8340A}
147,12577,Urgent Water Main Break Repair,2023-11-02,wp33489,"4425 EAST ETTER DR, BLOOMINGTON, IN, 47408",Strike (No BWA),{67FE013B-56CA-495A-BCAB-719D0943106E}
148,12696,Urgent Service Line Break Repair,2023-11-09,o46104,"635 NORTH ADAMS ST, BLOOMINGTON, IN, 47404",Service Line Strike,{86F99659-77C1-479C-8CC7-C333AF2B2D1F}
149,12721,Urgent Water Main Break Repair,2023-11-09,wp33656,"3930 SOUTH BAYTREE LN, BLOOMINGTON, IN, 47401",Strike (No BWA),{259E7467-11E0-47AA-974A-FEEEEEAE72B7}
150,12863,Urgent Service Line Break Repair,2023-11-15,wp6755,"1340 WEST TIFFANY CT, BLOOMINGTON, IN, 47403",Service Line Leak,{CF417952-DD8B-43CF-9EA7-25DFD20B5A50}
151,12913,Urgent Service Line Break Repair,2023-11-16,21763,"1111 WEST 10TH ST, BLOOMINGTON, IN, 47408",Service Line Strike,{5EBEE051-4A3D-495B-AF2F-DF982A996C8A}
152,12931,Urgent Service Line Break Repair,2023-11-17,27208,"3962 EAST 10TH ST, BLOOMINGTON, IN, 47408",Service Line Strike,{C6B77077-D582-405B-B391-BA8D85077406}
153,12937,Urgent Water Main Break Repair,2023-11-17,p5037,"2622 NORTH CASCADE DR, BLOOMINGTON, IN, 47404",Main Leak (No BWA),{0F64983D-14B7-44D6-895E-1A908AEE55A1}
154,13197,Urgent Water Main Break Repair,2023-11-27,s4114,"2103 GROVESNOR PL, BLOOMINGTON, IN, 47401",Main Leak (No BWA),{B58DAE8B-7684-429A-BDC1-C34030B36E6C}
155,13707,Urgent Water Main Break Repair,2023-12-11,s439,"1507 EAST SOUTHDOWNS DR, BLOOMINGTON, IN, 47401",Main Leak (No BWA),{5F570147-C667-48DD-84FD-A17F535FEEBB}
156,13823,Urgent Water Main Break Repair,2023-12-13,wp32386,"525 WEST 17TH ST, BLOOMINGTON, IN, 47404",Strike (Includes a BWA),{8772B827-9D14-44E4-9381-07675F5FCAB4}
157,13874,Urgent Water Main Break Repair,2023-12-13,t4165,"2205 SOUTH FAIRMOUNT CT, BLOOMINGTON, IN, 47401",Main Break (Includes a BWA),{E50C8DC2-CF8F-4252-BA50-1D9541348D91}
158,13974,Urgent Water Main Break Repair,2023-12-16,s443,"2200 EAST MAXWELL LN, BLOOMINGTON, IN, 47401",Main Leak (No BWA),{B73BF05E-E1AE-4A07-8E4B-5D0BA5523B1C}
159,13975,Urgent Water Main Break Repair,2023-12-16,v46102,"4411 EAST SHEFFIELD DR, BLOOMINGTON, IN, 47408",Main Leak (No BWA),{1934E91F-3246-4D71-86EF-68FC9C6E5B97}
160,13977,Urgent Water Main Break Repair,2023-12-17,r4382,"940 SOUTH HAWTHORNE DR, BLOOMINGTON, IN, 47401",Main Leak (No BWA),{A159BB95-D1C0-4FFE-A981-04E1EDBA5CB6}
161,14198,Urgent Service Line Break Repair,2023-12-21,13236,"1514 EAST CLAIRMONT PL, BLOOMINGTON, IN, 47401",Service Line Leak,{F3EFE53F-30AC-4158-BE14-DEBC2C276DE0}
162,14257,Urgent Water Main Break Repair,2023-12-26,wp29155,"100 WEST CLUB HOUSE DR, BLOOMINGTON, IN, 47404",Main Leak (No BWA),{5A1F4A1A-F6EF-454E-BF2D-4942FE7A8226}
163,14264,Urgent Water Main Break Repair,2023-12-26,wp29557,"415 WEST JED ST, BLOOMINGTON, IN, 47403",Main Leak (No BWA),{421EF9E5-5BFF-43F6-81BF-B88ED7630576}
164,14276,Urgent Water Main Break Repair,2023-12-27,v46119,"4219 EAST SHEFFIELD DR, BLOOMINGTON, IN, 47408",Main Leak (No BWA),{FA31739E-809E-4BA4-9086-B95787020668}
165,14486,Urgent Water Main Break Repair,2024-01-05,o4319,"912 SOUTH WESTHILL CT, BLOOMINGTON, IN, 47403",Main Break (Includes a BWA),{A0AF9D8A-1EB3-434C-BA25-FCA356C56215}
166,14766,Urgent Water Main Break Repair,2024-01-11,q47142,"331 EAST 12TH ST, BLOOMINGTON, IN, 47408",Main Break (Includes a BWA),{60B85CD3-E815-48BD-AEBD-62406A259BAF}
167,14846,Urgent Water Main Break Repair,2024-01-15,q4659,"418 WEST 8TH ST, BLOOMINGTON, IN, 47404",Main Break (Includes a BWA),{9829FDA3-5805-4FCB-9B1C-65677D88AC50}
168,14881,Urgent Water Main Break Repair,2024-01-17,wp25764,"629 EAST MOODY DR, BLOOMINGTON, IN, 47401",Main Leak (No BWA),{EC3DF6DF-E0FE-49CD-BB9F-0846F66DC5B9}
169,14884,Urgent Water Main Break Repair,2024-01-17,q46133,"600 NORTH WASHINGTON ST, BLOOMINGTON, IN, 47408",Main Leak (No BWA),{77487CD2-26E2-4B36-85EF-41F2C21CA10D}
170,14936,Urgent Water Main Break Repair,2024-01-18,t43172,"1510 SOUTH PICKWICK PL, BLOOMINGTON, IN, 47401",Main Leak (No BWA),{6D3EFFDA-7A01-4A43-AAED-A04A71CAA5D9}
171,14958,Urgent Water Main Break Repair,2024-01-19,p4678,"459 NORTH MAPLE ST, BLOOMINGTON, IN, 47404",Main Leak (No BWA),{F33A5BA8-B9B0-4133-94E0-4AD15C6FBE26}
172,14959,Urgent Water Main Break Repair,2024-01-19,wp26008,"3624 EAST MORNINGSIDE DR, BLOOMINGTON, IN, 47408",Main Leak (No BWA),{0EC25B82-FE9E-4523-A47E-FDA23C506173}
173,14962,Urgent Water Main Break Repair,2024-01-19,v45113,"3901 EAST 3RD ST, BLOOMINGTON, IN, 47401",Main Leak (No BWA),{014EE534-BB44-4654-91EF-D66982C28CE3}
174,14968,Urgent Water Main Break Repair,2024-01-20,s45100,"128 SOUTH CLARK ST, BLOOMINGTON, IN, 47408",Main Leak (No BWA),{D9EC7743-C549-4910-87D0-71E5461ECCC5}
175,14969,Urgent Water Main Break Repair,2024-01-20,u4622,"3505 EAST GRANDVIEW DR, BLOOMINGTON, IN, 47408",Main Leak (No BWA),{48DC939E-D61C-4C23-A162-A5F48F55EBC1}
176,14970,Urgent Water Main Break Repair,2024-01-21,q48200,"1700 NORTH WASHINGTON ST, BLOOMINGTON, IN, 47408",Main Leak (No BWA),{45A343A4-9520-4EA4-BAEF-498367B3E53B}
177,15047,Urgent Water Main Break Repair,2024-01-22,p49114,"1705 NORTH KINSER PIKE, BLOOMINGTON, IN, 47404",Strike (No BWA),{17F710CA-F192-454C-B853-411DED5C977E}
178,15061,Urgent Service Line Break Repair,2024-01-23,s4439,"914 SOUTH MAXWELL TER, BLOOMINGTON, IN, 47401",Service Line Leak,{06D18A51-98A3-426E-A05A-1ABB141E74E3}
179,15103,Urgent Water Main Break Repair,2024-01-23,v4721,"920 NORTH PLYMOUTH CT, BLOOMINGTON, IN, 47408",Main Leak (No BWA),{94AD852D-3C5A-4DFA-9654-D96D81EE2A5E}
180,15137,Urgent Service Line Break Repair,2024-01-24,wp10149,"404 NORTH HOPEWELL ST, BLOOMINGTON, IN, 47404",Service Line Strike,{D5E9E204-6DB9-4A33-95FE-06A21FA4EBC4}
181,15257,Urgent Service Line Break Repair,2024-01-29,q4497,"611 EAST 1ST ST, BLOOMINGTON, IN, 47401",Service Line Leak,{F1086F75-DD75-4A69-B811-2FB5631F417C}
182,15351,Urgent Water Main Break Repair,2024-01-30,wp9995,"1700 WEST BLOOMFIELD RD, BLOOMINGTON, IN, 47403",Main Leak (No BWA),{A6CF432E-D8AB-446B-BCD1-069BC7890C4D}
183,15466,Urgent Water Main Break Repair,2024-02-04,r44142,"701 SOUTH HIGHLAND AVE, BLOOMINGTON, IN, 47401",Main Leak (No BWA),{F2053503-1D32-423D-9457-6B2DD2D2B10A}
184,15467,Urgent Water Main Break Repair,2024-02-04,wp3647,"2350 WEST EVERGREEN DR, BLOOMINGTON, IN, 47404",Main Leak (No BWA),{6C29E3C2-BDF4-41D2-95D1-AB9E3AD49833}
185,15469,Urgent Water Main Break Repair,2024-02-04,wp3647,"2350 WEST EVERGREEN DR, BLOOMINGTON, IN, 47404",Main Leak (No BWA),{BABF80C3-40D3-493A-B97E-51782E48CA31}
186,15814,Urgent Water Main Break Repair,2024-02-10,p5115,"3321 NORTH STONEYCREST RD, BLOOMINGTON, IN, 47404",Main Break (Includes a BWA),{764CFECF-ABF9-4668-B45C-25A425932231}
187,15816,Urgent Water Main Break Repair,2024-02-11,p5151,"1001 WEST WINDING WAY, BLOOMINGTON, IN, 47404",Main Break (Includes a BWA),{6CE3B8AC-DE96-4CD1-A554-7FA42FDBEC82}
188,17029,Urgent Water Main Break Repair,2024-02-15,wp2511,"1912 NORTH MONROE ST, BLOOMINGTON, IN, 47404",Main Leak (No BWA),{C21C1D26-B0F8-40D8-9275-617113A94023}
189,17113,Urgent Water Main Break Repair,2024-02-20,r38153,"1051 E JENNIFER CIR, BLOOMINGTON, IN, 47401",Main Break (Includes a BWA),{95A6DCB1-E61D-41AD-BB09-BD4CE430B22F}
190,17273,Urgent Water Main Break Repair,2024-02-25,r3870,"1002 EAST SHERBROOKE DR, BLOOMINGTON, IN, 47401",Main Break (Includes a BWA),{75289E98-897C-4F89-9E5D-B98807F633FC}
191,17374,Urgent Water Main Break Repair,2024-02-27,p504,"2621 NORTH KINSER PIKE, BLOOMINGTON, IN, 47404",Main Break (Includes a BWA),{46E6699E-8BAD-462E-B45B-035C8D21C231}
192,17485,Urgent Water Main Break Repair,2024-03-01,x442,"5090 EAST HERITAGE WOODS RD, BLOOMINGTON, IN, 47401",Main Break (Includes a BWA),{CF427894-8404-415A-B4C7-FC664B1041F3}
193,17534,Urgent Water Main Break Repair,2024-03-04,r38158,"1028 EAST JENNIFER CT, BLOOMINGTON, IN, 47401",Main Leak (No BWA),{E3BBF1C3-AE30-4C31-978A-EF038692CE8A}
194,17930,Urgent Water Main Break Repair,2024-03-07,wp16219,"4404 WEST STATE ROAD 45, BLOOMINGTON, IN, 47403",Main Leak (No BWA),{09AD2DF5-972E-412C-A3B5-1535530DAFF0}
195,18775,Urgent Water Main Break Repair,2024-03-19,p48113,"317 WEST 17TH ST, BLOOMINGTON, IN, 47404",Strike (Includes a BWA),{CC9D05E7-E3F8-4162-9467-0CD339C63BE0}
196,18775,Urgent Water Main Break Repair,2024-03-19,p48109,"317 WEST 17TH ST, BLOOMINGTON, IN, 47404",Strike (Includes a BWA),{113FAF1E-6638-476F-A8F9-145BA3501540}
197,18775,Urgent Water Main Break Repair,2024-03-19,p48115,"317 WEST 17TH ST, BLOOMINGTON, IN, 47404",Strike (Includes a BWA),{110587DF-F616-4C95-8DB2-6933D75FB04B}
198,18775,Urgent Water Main Break Repair,2024-03-19,p48108,"317 WEST 17TH ST, BLOOMINGTON, IN, 47404",Strike (Includes a BWA),{E27561D5-76D8-42A8-BEA7-21A631228B91}
199,18775,Urgent Water Main Break Repair,2024-03-19,p48114,"317 WEST 17TH ST, BLOOMINGTON, IN, 47404",Strike (Includes a BWA),{0F7E4FE0-2880-450E-B1A2-4CC85F191E64}
200,18799,Urgent Water Main Break Repair,2024-03-21,q5312,"3501 NORTH DUNN ST, BLOOMINGTON, IN, 47408",Main Break (Includes a BWA),{3D0F7AF2-28AB-4C73-B570-02048B34D77D}
201,18857,Urgent Water Main Break Repair,2024-03-22,wp30596,"1020 SOUTH WOODLAWN AVE, BLOOMINGTON, IN, 47401",Main Leak (No BWA),{C311A7D1-CE8F-4AC9-9C72-097CA4B58F47}
202,18859,Urgent Water Main Break Repair,2024-03-23,w297,"4336 EAST SUNDANCE LN, BLOOMINGTON, IN, 47401",Service Line Leak,{0B930723-A14B-45C3-A61A-AA2EE236ED28}
203,19299,Urgent Service Line Break Repair,2024-04-03,11285,"4002 SOUTH ROGERS ST, BLOOMINGTON, IN, 47403",Service Line Strike,{5F71E07E-33B0-4E75-8824-6EA432FA4B6A}
204,19492,Urgent Water Main Break Repair,2024-04-08,v4562,"117 NORTH PARK RIDGE RD, BLOOMINGTON, IN, 47408",Main Break (Includes a BWA),{760EE50C-2C05-4699-9E97-97A4BD47D3A3}
205,19766,Urgent Service Line Break Repair,2024-04-12,wp28626,"3246 SOUTH COPPERTREE DR, BLOOMINGTON, IN, 47401",Service Line Strike,{7F3FE302-A74B-45FE-BB6A-C21C032D1A39}
206,20484,Urgent Service Line Break Repair,2024-04-27,wp1805,"1803 WEST FOUNTAIN DR, BLOOMINGTON, IN, 47404",Service Line Strike,{22AC99F0-4FAB-4BCE-B46D-5C407C19221A}
207,20520,Urgent Service Line Break Repair,2024-04-29,n434,"1700 WEST BLOOMFIELD RD, BLOOMINGTON, IN, 47403",Service Line Leak,{D95624D3-6EC2-4820-8450-A10213310B0A}
208,20601,Urgent Water Main Break Repair,2024-04-30,wp29135,"1013 WEST 14TH ST, BLOOMINGTON, IN, 47404",Strike (No BWA),{22A6A231-CBB4-43CD-88B1-DEBB68911BC7}
209,20722,Urgent Water Main Break Repair,2024-05-02,m401,"3910 WEST WALNUT LEAF DR, BLOOMINGTON, IN, 47403",Main Leak (No BWA),{DB37FD01-F9D0-4752-84B3-C3DE7D73DB33}
210,20917,Urgent Service Line Break Repair,2024-05-06,wp38358,"219 E 19TH ST, BLOOMINGTON, IN, 47408",Service Line Strike,{98239F89-0CD8-4029-B7F3-1D04ECFFEF98}
211,20918,Urgent Service Line Break Repair,2024-05-06,wp18364,"1267 SOUTH STELLA DR, BLOOMINGTON, IN, 47401",Service Line Strike,{10353447-67CD-4A1E-BA91-9EC1B65A5432}
212,21024,Urgent Service Line Break Repair,2024-05-08,p4415,"408 WEST 1ST ST, BLOOMINGTON, IN, 47403",Service Line Strike,{2A38AF12-65CC-49C9-BE72-AE7D481DD59F}
213,21789,Urgent Water Main Break Repair,2024-05-20,m411,"3730 WEST OAK LEAF DR, BLOOMINGTON, IN, 47403",Main Leak (No BWA),{9C4C94BE-9518-458C-8E70-CEB1FEC4877D}
214,23051,Urgent Water Main Break Repair,2024-06-08,p40109,"613 W GRAHAM DR, BLOOMINGTON, IN, 47403",Main Leak (No BWA),{0976AC1B-0C0E-4B89-B647-D9D9FC012833}
215,23153,Urgent Water Main Break Repair,2024-06-10,r38124,"3906 SOUTH WOODS EDGE BND, BLOOMINGTON, IN, 47401",Main Break (Includes a BWA),{2F974C37-CB4B-402F-AAB4-DA01B19DC7D5}
216,23435,Urgent Service Line Break Repair,2024-06-13,6923,"920 NORTH MAPLE ST, BLOOMINGTON, IN, 47404",Service Line Strike,{20D1434C-E44E-4236-9252-9F2CB076F067}
217,23490,Urgent Water Main Break Repair,2024-06-14,k4451,"710 SOUTH PARKWAY DR, BLOOMINGTON, IN, 47403",Main Break (Includes a BWA),{B5EF4215-E986-4240-B371-B4A033084B19}
218,23493,Urgent Water Main Break Repair,2024-06-14,q48328,"1425 N DUNN ST, BLOOMINGTON, IN, 47408",Main Leak (No BWA),{CCB70337-0B17-4D5D-93FA-13241F9D8AB7}
219,23497,Urgent Water Main Break Repair,2024-06-15,r38124,"3906 SOUTH WOODS EDGE BND, BLOOMINGTON, IN, 47401",Main Break (Includes a BWA),{4FE80C94-61F2-450F-B154-50AA323C0A43}
220,23567,Urgent Water Main Break Repair,2024-06-17,s4530,"209 S UNION ST, BLOOMINGTON, IN, 47408",Main Leak (No BWA),{6D7777C3-886B-42BA-BE3E-49CEEE108E9F}
221,23662,Urgent Water Main Break Repair,2024-06-18,wp29262,"3225 NORTH PROW RD, BLOOMINGTON, IN, 47404",Main Leak (No BWA),{149D85DA-8FEB-401B-A6B1-C8F0C185AE82}
222,23697,Urgent Water Main Break Repair,2024-06-20,q44197,"700 SOUTH COLLEGE AVE, BLOOMINGTON, IN, 47403",Main Leak (No BWA),{F3928B89-8724-4B2C-8EE9-9F1CEFBB6C3C}
223,23705,Urgent Service Line Break Repair,2024-06-20,s42171,"1702 EAST THORNTON DR, BLOOMINGTON, IN, 47401",Service Line Strike,{BF90AFF4-F55A-4DBE-A164-41C55CDD520D}
224,23742,Urgent Water Main Break Repair,2024-06-21,wp32629,"258 NORTH WILLIS DR, BLOOMINGTON, IN, 47404",Main Break (Includes a BWA),{E8360101-9F85-4868-AB70-2E5716BACF99}
225,23759,Urgent Water Main Break Repair,2024-06-21,wp27217,"100 NORTH STATE ROAD 46, BLOOMINGTON, IN, 47408",Main Break (Includes a BWA),{7D7B9BD8-CFED-4EF7-8E9B-7F4DCAF54284}
226,23792,Urgent Service Line Break Repair,2024-06-21,p4415,"WEST 1ST ST & SOUTH MORTON ST, BLOOMINGTON, IN, 47403",Service Line Strike,{AD5B9EBB-B060-4908-B235-ADBEAF67FFF5}
227,23802,Urgent Water Main Break Repair,2024-06-23,s4224,"1415 S NANCY ST, BLOOMINGTON, IN, 47401",Main Break (Includes a BWA),{CAA03139-CEDF-46CA-8097-478006A9B253}
228,23892,Urgent Water Main Break Repair,2024-06-24,p504,"2500 NORTH KINSER PIKE, BLOOMINGTON, IN, 47404",Main Break (Includes a BWA),{8ABACF71-A079-4570-85A0-1D253317D0DD}
229,24046,Urgent Service Line Break Repair,2024-06-25,wp15788,"704 WEST 3RD ST, BLOOMINGTON, IN, 47404",Service Line Strike,{65BC1A45-6265-48BE-AD4C-819B59C979A3}
230,24057,Urgent Water Main Break Repair,2024-06-26,wp27321,"3711 SOUTH HAYS DR, BLOOMINGTON, IN, 47403",Main Leak (No BWA),{25B40D0D-C5C4-4CC0-AF0D-4F6F298F3CA6}
231,24066,Urgent Water Main Break Repair,2024-06-26,wp2508,"524 SOUTH HIGHLAND AVE, BLOOMINGTON, IN, 47401",Main Leak (No BWA),{E928BC6F-CE98-44CC-8C3F-7D64ADB5294C}
232,24085,Urgent Water Main Break Repair,2024-06-26,w297,"4336 EAST SUNDANCE LN, BLOOMINGTON, IN, 47401",Main Leak (No BWA),{35997177-EAD1-4E1F-84C0-0EEF04398997}
233,24193,Urgent Service Line Break Repair,2024-06-28,p46216,"311 WEST 7TH ST, BLOOMINGTON, IN, 47404",Service Line Leak,{7F978831-2481-484B-83EA-D25FC2216557}
234,24371,Urgent Water Main Break Repair,2024-07-03,wp5676,"NORTH STONE MILL RD & N OLD STATE ROAD 37, BLOOMINGTON, IN, 47408",Main Break (Includes a BWA),{093FECA3-0B50-4F5A-A9FF-66CD3D9FE058}
235,24524,Urgent Service Line Break Repair,2024-07-08,4681,"622 WEST 6TH ST, BLOOMINGTON, IN, 47404",Service Line Strike,{7CF67796-6328-4C5F-94B5-2E0C39717187}
236,24587,Urgent Water Main Break Repair,2024-07-09,wp4149,"WEST 1ST ST & SOUTH MORTON ST, BLOOMINGTON, IN, 47403",Main Break (Includes a BWA),{982487E1-FCF2-4CB5-ADBB-BE411A44B80A}
237,24626,Urgent Service Line Break Repair,2024-07-10,249,"1412 SOUTH WINFIELD RD, BLOOMINGTON, IN, 47401",Service Line Strike,{6070BE29-85D8-4581-A97B-37899A290D65}
238,24684,Urgent Service Line Break Repair,2024-07-10,2797,"1206 SOUTH WOODLAWN AVE, BLOOMINGTON, IN, 47401",Service Line Strike,{76A8683C-F2E8-4CC2-88A7-2A23245DFD88}
239,24752,Urgent Service Line Break Repair,2024-07-11,3295,"311 S SWAIN AVE, BLOOMINGTON, IN, 47401",Service Line Strike,{5D282F10-B6E3-4F3C-9CFF-9C01E8972433}
